company,ticker,exchange,long_name,fy_end_month,match_quality
zabka-group-2024-ar-full-year,9M1.F,FRA,Zabka Group S.A.,,1.00
verbund-integrated-annual-report-2024-englisch-final-1,,,,,no hit
amsterdam commodity,,,,,no hit
arkema,ARKAY,PNK,Arkema S.A.,,1.00
basf,BAS.DE,GER,BASF SE,,1.00
20250407_viv_vivendi_urd_en,,,,,no hit
acerinox,ACX.MC,MCE,"Acerinox, S.A.",,0.73
en_2024_annualintegratedreport_vandemoortele_1,,,,,no hit
veolia_2024_urd,VVDH.F,FRA,Veolia Environnement SA,,1.00
bam,BAM,NYQ,Brookfield Asset Management Ltd.,,0.17
abn,ABNB,NMS,"Airbnb, Inc.",,0.40
barco,BAR.BR,BRU,Barco NV,,1.00
banca generali s.p.a,BGNM.XC,CXE,Banca Generali S.p.A.,,0.98
aalberts annual report,AACA.F,FRA,Aalberts N.V.,,1.00
24-vub-vyrocna-sprava-eng,,,,,no hit
altri,MO,NYQ,"Altria Group, Inc.",,0.43
annual-report-for-2024-consolidated-pdf,,,,,no hit
ariston,E0E.F,FRA,Ariston Holding N.V.,,1.00
wordline_urd_2024,,,,,no hit
achmea,,,,,no hit
aktia,2A41.F,FRA,Aktia Pankki Oyj,,1.00
asml,ASML,NMS,ASML Holding N.V.,,1.00
airbus,AIR.PA,PAR,Airbus SE,,1.00
amundi,,,,,no hit
aena,A440.F,FRA,"Aena S.M.E., S.A.",,1.00
valeo_2024-universal-registration-document,,,,,no hit
adidas,ADS.DE,GER,adidas AG,,1.00
aixtron group,,,,,no hit
millennium,MCELQ,PNK,"Millennium Cell, Inc.",,1.00
barclay,BCS,NYQ,Barclays PLC,,0.74
atenor,Z5S.F,FRA,Atenor SA,,1.00
wolters_kluwer_2024_annual_report,WOS.F,FRA,Wolters Kluwer N.V.,,1.00
acciona,AJ3.F,FRA,"Acciona, S.A.",,0.70
umg_2024_annual_report,UMG.AS,AMS,Universal Music Group N.V.,,0.14
m6,,,,,no hit
akzo,AKZA.AS,AMS,Akzo Nobel N.V.,,1.00
ageas,AGS.BR,BRU,ageas SA/NV,,1.00
asr,ASR,NYQ,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",,0.11
atea,AVIR,NMS,"Atea Pharmaceuticals, Inc.",,1.00
acea,DCA.F,FRA,ACEA S.p.A.,,1.00
upm-annual-report-2024,UPM.HE,HEL,UPM-Kymmene Oyj,,0.33
bank of syprus,,,,,no hit
amadeus fire,AAD.VI,VIE,Amadeus FiRe AG,,1.00
vpbli_gb2024_en,,,,,no hit
2025_02_25_fy_2024_uniper_annual_report,,,,,no hit
aareal bank,A289MV.DU,DUS,AAREAL BANK MTN.HPF.S259,,1.00
aker,AKRO,NMS,"Akero Therapeutics, Inc.",,0.29
baco sabadell,,,,,no hit
alfen,ALFEN.AS,AMS,Alfen N.V.,,1.00
aeroports,ADP.PA,PAR,Aeroports de Paris SA,,1.00
amadeus it group,AI3A.F,FRA,"Amadeus IT Group, S.A.",,0.84
asm,ASM,ASE,Avino Silver & Gold Mines Ltd.,,0.12
vattenfall-annual-and-sustainability-report-2024,,,,,no hit
avinor,,,,,no hit
abinbev,,,,,no hit
amplifon,AMFPF,PNK,Amplifon S.p.A.,,1.00
air liquide,AI.PA,PAR,L'Air Liquide S.A.,,0.78
aroundtown,AT1.DE,GER,Aroundtown SA,,1.00
bank pekao,BP1.SG,STU,Bank Polska Kasa Opieki SA,,0.57
cez group,,,,,no hit
austrian post,,,,,no hit
wacker,WCH.F,FRA,Wacker Chemie AG,,1.00
axa,CS.PA,PAR,AXA SA,,1.00
wartsila,WRTBF,PNK,Wärtsilä Oyj Abp,,0.50
adyen,ADYEN.AS,AMS,Adyen N.V.,,1.00
vinci-2024-universal-registration-document,,,,,no hit
arenz,,,,,no hit
abertis,,,,,no hit
vestas annual report 2024,VWS.CO,CPH,Vestas Wind Systems A/S,,1.00
air france,AF.PA,PAR,Air France-KLM SA,,0.74
accor_urd,ACCYY,PNK,Accor SA,,1.00
banco commercial,,,,,no hit
withsecure_annual_report_2024,DTV0.F,FRA,WithSecure Oyj,,1.00
alliander,,,,,no hit
orsted annual report 2024,ORSTED.CO,CPH,Ørsted A/S,,0.62
atria,AJC.F,FRA,Atria Oyj,,1.00
alk,ALK,NYQ,"Alaska Air Group, Inc.",,0.24
akso,AKSO.OL,OSL,Aker Solutions ASA,,0.36
allegro,ALGM,NMS,"Allegro MicroSystems, Inc.",,1.00
axfood,AXL1.F,FRA,Axfood AB (publ),,1.00
santander,SAN,NYQ,"Banco Santander, S.A.",,0.60
addiko bank,ZYE1.F,FRA,Addiko Bank AG,,1.00
alm brand,1AM.F,FRA,Alm. Brand A/S,,0.78
amag,AM8.F,FRA,AMAG Austria Metall AG,,1.00
wp holding,WPFH,PNK,"WPF Holdings, Inc.",,0.71
asklepios,,,,,no hit
vonovia-se_annual-report-2024,VNA.DE,GER,Vonovia SE,,1.00
argenx,ARGX,NMS,argenx SE,,1.00
assa abloy,ASSA-B.ST,STO,ASSA ABLOY AB (publ),,1.00
amg,AMG,NYQ,"Affiliated Managers Group, Inc.",,0.18
barclay ireland,,,,,no hit
aib group,A5G.F,FRA,AIB Group plc,,1.00
2024-wienerberger-annual-report,WIB.F,FRA,Wienerberger AG,,1.00
aegon,AEG,NYQ,Aegon Ltd.,,1.00
bank of ireland,BIRG.IR,ISE,Bank of Ireland Group plc,,1.00
annual report 2024_zalando se_en_250503_s,,,,,no hit
autostrade,AUTME.MI,MIL,Autostrade Meridionali S.p.A.,,1.00
deu-ven,,,,,no hit
arcadis,HIJ.MU,MUN,Arcadis NV,,1.00
allianz group,,,,,no hit
